parameters,mean,std
y_new.1,3.491342890478855,0.6830638121196154
y_new.2,3.9578576069645934,0.6808988279443489
y_new.3,4.085923731320881,0.6892171435640577
y_new.4,3.03319970748132,0.6700294288907002
y_new.5,3.410318058815801,0.6902613441230346
y_new.6,2.3653415427667723,0.6861273510397873
y_new.7,2.7951864726503137,0.6840218418030852
y_new.8,3.485371303192337,0.6676276383962565
y_new.9,3.2319143728055972,0.685280135195627
y_new.10,3.5087477648939376,0.6849437478408671
y_new.11,3.421672565320191,0.6872212808100575
y_new.12,3.2079757997192138,0.6910992022119885
y_new.13,2.0400077568141226,0.6865804762760239
y_new.14,1.994689924484961,0.6737732816057552
y_new.15,4.1856503501634,0.6832089916270121
y_new.16,2.009069979779667,0.6756422940271076
y_new.17,2.900353589605269,0.6746143373760128
y_new.18,0.6979345649424225,0.6864806289595058
y_new.19,1.5952254778876267,0.6870916535250345
y_new.20,3.1403090092899575,0.6861843967479837
y_new.21,3.5688071298277637,0.6891145982300739
y_new.22,2.0288151145155013,0.6968586131806376
y_new.23,2.7724545833797585,0.686160733861631
y_new.24,3.5862155790053256,0.6701290038458468
y_new.25,1.4445982198234961,0.6897941081449014
y_new.26,1.8760508500860815,0.6732223387490676
y_new.27,2.0712885415282987,0.6909672114704355
y_new.28,0.22750012375307666,0.6897831500658399
y_new.29,0.4386100112264794,0.6831482830869875
y_new.30,2.341090581266013,0.6679643185362208
y_new.31,1.8349647684704364,0.6897634207496929
y_new.32,3.3771111236890885,0.688278232745864
y_new.33,1.539453266086822,0.6786643203615859
y_new.34,2.1443332953481535,0.6883110260956866
y_new.35,0.9856740067672417,0.6788318851366749
y_new.36,2.1226406546132495,0.6728223967213207
y_new.37,1.7771185183852476,0.6970473885288117
y_new.38,2.760610136958332,0.6944855027366834
y_new.39,0.05075902419647718,0.6963092665135896
y_new.40,3.065366597708195,0.6848378426178832
y_new.41,2.287765681478522,0.6960550201818887
y_new.42,2.6998598119690027,0.6937091640753339
y_new.43,2.6534603493321445,0.6901155996565153
y_new.44,0.7362511912077614,0.693013866273604
y_new.45,1.3647329692555552,0.6865339739696532
y_new.46,1.7921850567417776,0.6731400198143306
y_new.47,2.96641593239718,0.687274446472442
y_new.48,2.5398304652404122,0.676985980664683
y_new.49,2.8378355522554823,0.6794674524811456
y_new.50,1.8443248328092132,0.6950304687126072
y_new.51,-0.02885166137272649,0.6787579569599672
y_new.52,1.9237831365538138,0.6798087987728892
y_new.53,1.2111783365343058,0.6889809507702249
y_new.54,2.7151558206147355,0.6803672684051868
y_new.55,1.1940482756353492,0.6918242907724975
y_new.56,1.4231715152076598,0.6934200069504212
y_new.57,0.9996235690668621,0.6712744131945867
y_new.58,1.9409562784034575,0.6961573189383953
y_new.59,1.209328842499356,0.6827543493821421
y_new.60,0.33034771335382956,0.6992115676428206
y_new.61,2.3942992860729664,0.6851937147089852
y_new.62,0.7403738671212604,0.6786880094922829
y_new.63,0.2996487050431879,0.6707411033932249
y_new.64,-0.23406526159244784,0.6771422774330461
y_new.65,-1.4482509903540304,0.683795868782948
y_new.66,-1.9784006529395266,0.6870761704075602
y_new.67,-1.73587377496961,0.6819737709078069
y_new.68,-0.8878448743698202,0.6816784426365917
y_new.69,0.17150058503045068,0.6949932379780167
y_new.70,-1.590652181081703,0.6782100859345147
y_new.71,-0.2554461725686971,0.7001310476878305
y_new.72,-0.3836658823425171,0.6884434610244998
y_new.73,-1.599820469147001,0.6912868680355448
y_new.74,-1.8476500654066308,0.6817529520552194
y_new.75,-1.2638438515236898,0.6876184503603936
y_new.76,-0.5798285450725793,0.6953881260539237
y_new.77,-0.6443653216686929,0.6831962134459966
y_new.78,-0.46005944146131944,0.6844832078134158
y_new.79,0.5829036887938539,0.6782232565315374
y_new.80,-0.001499695758331859,0.6889519087047304
y_new.81,-1.3583712967989472,0.701068405720231
y_new.82,-1.751323390891281,0.6917922726998503
y_new.83,-0.5820201092176693,0.6873569095416717
y_new.84,-0.8143119444752324,0.6824547459768113
y_new.85,-0.396703404913535,0.6810625197850856
y_new.86,-1.0859865695796762,0.6820546166342334
y_new.87,-0.7177880763703747,0.699127210210737
y_new.88,-0.8333138190841859,0.6995396614721271
y_new.89,0.322950436313717,0.6882028742093094
y_new.90,-1.2394835684751075,0.6834138152914658
